episode,team_reward,conflict_rate,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,agent_4_reward,score,epsilon_mean
0,69.08,1.5667,12.32,13.82,21.32,16.82,22.82,0.9167,0.9554
1,88.42,1.8833,7.18,-1.82,10.18,17.68,16.18,1.0,0.8679
2,5.08,2.0583,-12.48,-7.98,-10.98,-19.98,-13.98,0.9167,0.7884
3,117.42,1.7917,15.98,11.48,32.48,20.48,14.48,0.9167,0.7162
4,154.75,2.2333,3.95,15.95,6.95,15.95,9.95,1.0,0.6507
5,172.5,1.4333,33.0,45.0,55.5,40.5,40.5,1.0,0.5911
6,120.08,1.9,15.02,16.52,6.02,21.02,19.52,1.0,0.537
7,220.58,1.9167,38.12,33.62,36.62,33.62,33.62,1.0,0.4878
8,133.25,1.6667,26.65,28.15,41.65,11.65,25.15,1.0,0.4431
9,29.67,1.8583,5.93,-18.07,11.93,-6.07,1.43,1.0,0.4025
10,96.42,2.2333,-18.22,5.78,4.28,2.78,-0.22,1.0,0.3657
11,116.25,1.8,14.25,11.25,21.75,27.75,17.25,1.0,0.3322
12,43.33,2.4,-30.33,-18.33,13.17,-27.33,-25.83,1.0,0.3018
13,-73.08,1.9333,-40.12,-25.12,-23.62,-13.12,-19.12,0.8333,0.2741
14,-71.75,2.2833,-39.85,-47.35,-12.85,-56.35,-26.35,1.0,0.249
15,-20.42,1.9583,-31.08,-19.08,-16.08,-19.08,12.42,0.9167,0.2262
16,-141.67,2.4167,-68.83,-56.83,-58.33,-65.83,-26.83,0.8182,0.2055
17,-65.0,2.1417,-50.5,-20.5,-2.5,-52.0,-25.0,1.0,0.1867
18,-130.67,2.2167,-65.13,-45.63,-47.13,-36.63,-35.13,0.9167,0.1696
19,-250.5,1.6667,-65.1,-66.6,-53.1,-24.6,-41.1,0.8182,0.1541
20,-384.0,1.7833,-90.3,-85.8,-94.8,-52.8,-81.3,0.7778,0.14
21,-76.94,2.325,-52.89,-40.89,-43.89,-19.89,-37.89,1.0,0.1271
22,-111.0,1.9083,-49.2,-37.2,-23.7,-20.7,-23.7,0.9091,0.1155
23,134.0,2.0417,1.3,8.8,19.3,8.8,28.3,1.0,0.1049
24,-425.0,1.975,-95.5,-100.0,-101.5,-83.5,-100.0,0.9091,0.0953
25,-804.0,2.9083,-231.3,-226.8,-202.8,-196.8,-169.8,0.6,0.0866
26,-40.5,2.6167,-63.6,-74.1,-14.1,-41.1,-18.6,0.9091,0.0787
27,-310.5,2.3833,-126.6,-104.1,-86.1,-57.6,-65.1,0.8,0.0715
28,-274.25,2.3833,-126.85,-68.35,-56.35,-56.35,-95.35,0.9,0.0649
29,-988.5,2.3,-268.2,-235.2,-217.2,-181.2,-200.7,0.4444,0.059
30,-400.04,2.625,-134.01,-114.51,-120.51,-98.01,-105.51,0.8,0.0536
31,-277.29,2.425,-92.96,-82.46,-94.46,-67.46,-76.46,0.7273,0.05
32,-291.5,2.625,-106.3,-92.8,-103.3,-74.8,-86.8,0.8889,0.05
33,-922.0,2.8417,-248.9,-218.9,-229.4,-187.4,-248.9,0.6667,0.05
34,-602.88,2.3167,-168.58,-161.08,-104.07,-119.08,-167.08,0.625,0.05
35,-716.0,2.9167,-201.7,-200.2,-167.2,-165.7,-206.2,0.6667,0.05
36,-388.0,2.6833,-124.1,-122.6,-94.1,-113.6,-116.6,0.8,0.05
37,-597.0,2.875,-153.9,-198.9,-144.9,-150.9,-165.9,0.7,0.05
38,-906.5,2.1167,-232.3,-220.3,-193.3,-143.8,-197.8,0.4444,0.05
39,-338.04,1.7083,-87.11,-84.11,-55.61,-34.61,-84.11,0.7,0.05
40,-579.12,2.4833,-153.33,-159.33,-121.83,-145.82,-145.82,0.75,0.05
41,-1189.0,1.6667,-272.3,-269.3,-195.8,-219.8,-231.8,0.5556,0.05
42,-369.12,2.05,-114.32,-72.33,-84.33,-87.32,-79.82,0.8,0.05
43,-393.83,2.425,-107.27,-81.77,-110.27,-143.27,-87.77,0.8,0.05
44,-557.25,1.9667,-156.45,-121.95,-70.95,-117.45,-144.45,0.6667,0.05
45,-1029.5,2.0167,-223.9,-217.9,-216.4,-207.4,-226.9,0.6,0.05
46,-451.5,2.0583,-100.8,-108.3,-78.3,-115.8,-118.8,0.7778,0.05
47,-835.0,2.05,-218.0,-173.0,-134.0,-176.0,-203.0,0.5714,0.05
48,-1002.0,2.375,-236.4,-257.4,-153.9,-221.4,-260.4,0.4444,0.05
49,-583.5,2.4167,-158.7,-172.2,-89.7,-139.2,-158.7,0.6667,0.05
50,-341.75,1.6583,-89.35,-83.35,-39.85,-65.35,-62.35,0.7273,0.05
51,-357.5,1.75,-79.0,-50.5,-50.5,-98.5,-94.0,0.7273,0.05
52,-282.17,1.45,-57.93,-39.93,-27.93,-54.93,-62.43,0.7273,0.05
53,-490.12,1.8,-122.02,-108.52,-96.53,-92.02,-95.02,0.7778,0.05
54,-320.5,1.925,-76.1,-50.6,-49.1,-85.1,-106.1,0.8,0.05
55,-104.83,2.55,-100.47,-38.97,-5.97,-65.97,-52.47,1.0,0.05
56,-369.5,2.5333,-145.9,-105.4,-91.9,-112.9,-69.4,0.8889,0.05
57,-566.17,2.5667,-171.73,-149.23,-134.23,-135.73,-137.23,0.8,0.05
